vacancy_name;salary_min;salary_max;salary_currency;link;site
PHP-программист / Битрикс программист;120000.0;200000.0;руб.;https://hh.ru/vacancy/49718588?from=vacancy_search_list&query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82;www.hh.ru
Senior PHP-программист;3350.0;;USD;https://hh.ru/vacancy/49832223?from=vacancy_search_list&query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82;www.hh.ru
Senior PHP-программист;3350.0;;USD;https://hh.ru/vacancy/49832224?from=vacancy_search_list&query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82;www.hh.ru
Senior PHP-программист;3350.0;;USD;https://hh.ru/vacancy/49832225?from=vacancy_search_list&query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82;www.hh.ru
Senior PHP-программист;3350.0;;USD;https://hh.ru/vacancy/49832226?from=vacancy_search_list&query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82;www.hh.ru
Senior PHP-программист;3350.0;;USD;https://hh.ru/vacancy/49832229?from=vacancy_search_list&query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82;www.hh.ru
Программист 1С (дистанционный отдел);;200000.0;руб.;https://hh.ru/vacancy/35268686?from=vacancy_search_list&query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82;www.hh.ru
Программист;;;;https://hh.ru/vacancy/43768147?from=vacancy_search_list&query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82;www.hh.ru
Программист (разработчик) 1С;;;;https://hh.ru/vacancy/49110107?from=vacancy_search_list&query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82;www.hh.ru
Senior PHP-программист;3350.0;;USD;https://hh.ru/vacancy/49832195?from=vacancy_search_list&query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82;www.hh.ru
Программист;45000.0;;руб.;https://hh.ru/vacancy/42770816?from=vacancy_search_list&query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82;www.hh.ru
Программист 1С;100000.0;150000.0;руб.;https://hh.ru/vacancy/49798606?from=vacancy_search_list&query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82;www.hh.ru
Senior PHP-программист;3350.0;;USD;https://hh.ru/vacancy/49832204?from=vacancy_search_list&query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82;www.hh.ru
Senior PHP-программист;3350.0;;USD;https://hh.ru/vacancy/49832210?from=vacancy_search_list&query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82;www.hh.ru
Senior PHP-программист;3350.0;;USD;https://hh.ru/vacancy/49832213?from=vacancy_search_list&query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82;www.hh.ru
Senior PHP-программист;3350.0;;USD;https://hh.ru/vacancy/49832214?from=vacancy_search_list&query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82;www.hh.ru
Senior PHP-программист;3350.0;;USD;https://hh.ru/vacancy/49832216?from=vacancy_search_list&query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82;www.hh.ru
Senior PHP-программист;3350.0;;USD;https://hh.ru/vacancy/49832221?from=vacancy_search_list&query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82;www.hh.ru
Программист 1С;80000.0;100000.0;руб.;https://hh.ru/vacancy/49241899?from=vacancy_search_list&query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82;www.hh.ru
Senior PHP-программист;3350.0;;USD;https://hh.ru/vacancy/49832201?from=vacancy_search_list&query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82;www.hh.ru
